numberOfGuests,roomType,maxNights,minNights,city,state,latitude,longitude,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21804,36.8874,20.0,1.0,1.0,1,0,0,0,1,2.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30704,36.821,22.0,1.0,1.0,1,0,0,0,1,38.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31918,36.84335,18.0,1.0,1.0,1,0,0,0,1,9.0,0,1,0,0,1.0,unknown
2,Private room,1125,1,Nairobi,NAIROBI,-1.32529,36.88549,22.0,1.0,1.0,1,0,0,0,1,14.0,1,1,0,0,1.0,shared
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31786,36.84236,22.0,1.0,1.0,1,0,0,0,1,30.0,1,1,0,0,1.0,unknown
1,Entire unit,1125,2,Nairobi,NAIROBI,-1.23981,36.81346,20.0,1.0,1.0,0,0,1,0,0,16.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30045,36.74578,19.0,0.0,1.0,1,0,0,0,1,7.0,1,0,0,0,1.0,unknown
2,Private room,1125,1,Nairobi,NAIROBI,-1.25545,36.81192,20.0,1.0,1.0,1,0,0,0,1,3.0,1,1,0,0,1.0,private
2,Other,1125,1,Nairobi,NAIROBI,-1.321,36.678,20.0,1.0,1.0,1,0,1,1,1,6.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30048,36.89106,20.0,1.0,1.0,1,0,1,0,1,15.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.28956,36.94794,22.0,0.0,1.0,0,0,0,0,0,14.0,1,0,0,0,1.0,unknown
2,Private room,1125,1,Ruaka,Kiambu,-1.2041,36.7714,22.0,1.0,2.0,1,0,0,1,1,4.0,1,1,0,0,2.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21657,36.88711,20.0,1.0,1.0,1,0,1,0,1,9.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,Machakos,-1.38077,36.925,19.0,1.0,2.0,1,0,0,0,1,8.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.359,36.915,20.0,2.0,1.0,1,0,1,0,1,133.0,0,2,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31631,36.92238,20.0,1.0,1.0,1,0,0,0,0,66.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.27711,36.82933,22.0,1.0,1.0,1,0,1,0,1,51.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,7,Nairobi,Kiambu,-1.20316,36.83863,20.0,1.0,1.0,0,0,0,0,0,7.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,20,Nairobi,NAIROBI,-1.27415,36.82894,22.0,1.0,1.0,0,0,0,0,0,1.0,1,0,0,0,1.0,unknown
4,Entire unit,1125,1,Nairobi,NAIROBI,-1.27363,36.82292,19.0,2.0,2.0,1,0,0,0,1,30.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Pridelands,Machakos,-1.41036,36.94984,20.0,1.0,1.0,1,0,0,1,1,34.0,1,1,0,0,1.0,unknown
2,Entire unit,120,1,Nairobi,NAIROBI,-1.274,36.791,20.0,1.0,2.0,1,0,0,0,1,27.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,Machakos,-1.36356,36.92428,20.0,1.0,1.0,1,0,0,0,1,9.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.28977,36.9768,22.0,1.0,1.0,1,0,0,0,0,5.0,0,0,0,0,1.0,unknown
1,Private room,1125,2,Nairobi,NAIROBI,-1.25882,36.78189,22.0,2.0,1.0,0,0,0,0,0,10.0,1,1,1,0,1.0,shared
1,Private room,1125,2,Nairobi,NAIROBI,-1.28619,36.75827,18.0,1.0,3.0,1,0,0,0,0,0.0,1,5,0,0,1.0,shared
2,Entire unit,1125,2,Nairobi,NAIROBI,-1.31616,36.90189,18.0,1.0,2.0,0,0,0,0,0,6.0,1,1,0,0,1.0,unknown
2,Private room,120,1,Nairobi,NAIROBI,-1.32631,36.88563,22.0,1.0,1.0,0,0,0,0,0,22.0,1,1,0,0,1.0,private
2,Private room,1125,1,Nairobi,NAIROBI,-1.26444,36.79154,18.0,2.0,1.0,0,0,0,0,0,6.0,1,0,0,0,1.0,shared
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.216,36.88722,18.0,1.0,2.0,1,0,1,0,1,30.0,1,0,0,0,1.0,unknown
1,Private room,1125,2,Nairobi,NAIROBI,-1.25835,36.77939,22.0,1.0,1.0,0,0,0,0,0,3.0,1,1,0,0,1.0,shared
2,Private room,365,1,Nairobi,NAIROBI,-1.25659,36.81501,18.0,1.0,1.0,1,0,0,0,1,11.0,1,1,0,0,1.0,private
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.29891,36.74611,22.0,1.0,2.0,1,0,0,0,1,51.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.27424,36.81912,22.0,1.0,2.0,0,0,0,1,0,14.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30653,36.82121,22.0,1.0,2.0,0,0,0,0,0,16.0,0,1,0,0,1.0,unknown
2,Entire unit,10,1,Nairobi,NAIROBI,-1.36023,36.91822,22.0,1.0,2.0,0,0,0,0,0,54.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.289,36.794,22.0,1.0,2.0,0,0,0,1,0,65.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31453,36.8364,22.0,1.0,1.0,1,0,1,1,1,61.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.32714,36.78224,18.0,1.0,1.0,1,0,0,0,0,78.0,0,1,0,0,1.0,unknown
2,Other,1125,1,Nairobi,NAIROBI,-1.259,36.794,22.0,1.0,1.0,1,0,0,1,1,30.0,1,1,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.29352,36.89804,18.0,1.0,1.0,1,0,0,0,1,3.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,Machakos,-1.38371,36.92736,18.0,1.0,1.0,1,0,0,0,1,22.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.27611,36.78743,18.0,1.0,1.0,1,1,1,1,1,18.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.34783,36.74248,18.0,1.0,1.0,1,0,1,0,1,23.0,1,0,0,0,1.0,unknown
1,Private room,1125,2,Nairobi,NAIROBI,-1.28618,36.75962,22.0,1.0,3.0,1,0,0,0,1,0.0,1,4,0,0,1.0,shared
1,Entire unit,1125,2,Nairobi,NAIROBI,-1.239,36.813,18.0,1.0,1.0,1,0,1,0,1,38.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30078,36.74592,22.0,1.0,1.0,1,1,0,1,1,13.0,1,1,0,0,1.0,unknown
2,Private room,1125,7,Nairobi,NAIROBI,-1.25668,36.81554,22.0,5.0,4.0,0,0,0,1,0,0.0,1,5,0,0,3.0,unknown
2,Entire unit,500,1,Nairobi,NAIROBI,-1.30766,36.82347,22.0,1.0,2.0,1,0,0,0,1,1.0,1,1,1,0,1.0,unknown
2,Entire unit,500,1,Nairobi,NAIROBI,-1.30688,36.8218,22.0,1.0,2.0,0,0,0,1,0,1.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Ongata Rongai,NAIROBI,-1.39735,36.74736,22.0,1.0,1.0,0,1,1,1,0,14.0,1,0,0,0,1.0,unknown
1,Private room,365,1,Nairobi,NAIROBI,-1.291,36.78,22.0,1.0,3.0,0,0,0,0,0,0.0,1,2,2,0,3.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21926,36.88877,22.0,0.0,1.0,1,1,0,1,1,0.0,1,0,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.31653,36.84315,22.0,1.0,1.0,1,0,0,1,1,2.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,2,Kiambu,Kiambu,-1.2051,36.83739,22.0,1.0,1.0,1,1,1,1,1,0.0,1,1,0,0,1.0,unknown
4,Entire unit,1125,1,Athi River,Eastern,-1.47794,36.95932,22.0,1.0,1.0,1,1,0,1,1,6.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30623,36.82129,22.0,0.0,2.0,1,0,0,1,1,0.0,1,1,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.32411,36.8844,22.0,1.0,1.0,1,0,0,0,1,4.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.28356,36.78518,18.0,1.0,1.0,1,0,1,0,1,44.0,1,1,0,0,1.0,unknown
1,Private room,365,1,Nairobi,NAIROBI,-1.27711,36.82772,22.0,1.0,1.0,0,0,0,0,0,0.0,1,0,0,0,1.0,private
2,Entire unit,1125,2,Nairobi,NAIROBI,-1.23633,36.86161,21.0,2.0,1.0,1,0,0,0,1,2.0,1,2,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30618,36.8222,19.0,1.0,2.0,1,0,0,0,1,33.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.28101,36.82713,19.0,1.0,1.0,0,0,0,0,0,60.0,1,1,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.31771,36.90255,18.0,1.0,2.0,1,0,1,1,1,0.0,1,1,1,0,1.0,unknown
2,Entire unit,365,1,Ruiru,Kiambu,-1.16324,36.96348,20.0,2.0,1.0,1,0,0,0,1,8.0,0,2,2,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.30893,36.80044,19.0,0.0,1.0,1,0,1,1,1,13.0,1,0,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.213,36.835,20.0,1.0,1.0,1,0,0,0,0,2.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21586,36.88828,18.0,1.0,1.0,1,0,1,0,1,4.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.22,36.889,20.0,1.0,1.0,1,0,0,0,1,33.0,1,1,0,0,1.0,unknown
2,Private room,1125,1,Nairobi,NAIROBI,-1.29994,36.77962,20.0,1.0,1.0,1,1,0,1,1,1.0,1,0,0,0,1.0,shared
2,Entire unit,1125,5,Nairobi,NAIROBI,-1.22894,36.87856,20.0,1.0,1.0,1,0,0,1,1,3.0,1,0,0,0,1.0,unknown
2,Private room,365,6,Nairobi,NAIROBI,-1.2915,36.8213,20.0,1.0,2.0,0,0,0,1,0,0.0,0,0,0,0,2.0,shared
2,Entire unit,365,1,Nairobi,NAIROBI,-1.27739,36.8287,19.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,30,7,Nairobi,NAIROBI,-1.30052,36.8915,18.0,1.0,1.0,0,0,0,0,0,0.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.21864,36.88663,20.0,1.0,1.0,1,1,1,1,1,2.0,1,1,0,0,1.0,unknown
1,Private room,1125,1,Nairobi,NAIROBI,-1.282,36.786,18.0,1.0,2.0,1,0,0,0,1,43.0,1,0,0,0,1.0,unknown
2,Entire unit,1111,3,Nairobi,NAIROBI,-1.22923,36.87996,20.0,1.0,1.0,1,0,0,0,1,7.0,1,1,0,0,1.0,unknown
1,Private room,30,2,Nairobi,NAIROBI,-1.29119,36.771,18.0,2.0,1.0,1,0,0,0,1,0.0,1,2,0,0,1.0,unknown
2,Entire unit,1125,1,Kiambu,Kiambu,-1.17333,36.83139,18.0,0.0,1.0,0,0,0,0,0,2.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Ruiru,Kiambu,-1.13397,36.97525,18.0,1.0,1.0,1,0,1,0,1,36.0,1,1,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.21492,36.88711,19.0,1.0,1.0,0,0,0,0,0,4.0,1,0,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.276,36.829,19.0,1.0,1.0,0,0,1,0,0,3.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.31755,36.8436,19.0,1.0,1.0,0,0,0,0,0,7.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.3183,36.84133,18.0,1.0,2.0,1,0,0,0,1,2.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.32252,36.90045,18.0,1.0,1.0,1,0,1,0,1,11.0,1,1,1,0,1.0,unknown
2,Private room,1125,1,Kiambu,Kiambu,-1.17346,36.83032,20.0,1.0,2.0,1,0,1,1,1,21.0,0,0,0,0,1.0,unknown
8,Private room,360,1,Nairobi,NAIROBI,-1.31699,36.67739,18.0,4.0,3.0,1,0,0,0,0,2.0,1,3,0,0,3.0,shared
2,Entire unit,1124,2,Nairobi,NAIROBI,-1.22969,36.87666,20.0,1.0,2.0,1,0,0,0,1,70.0,1,1,1,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.20851,36.88467,20.0,1.0,1.0,1,0,1,1,1,28.0,1,1,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.30064,36.74762,19.0,1.0,1.0,0,0,0,0,0,2.0,0,1,0,0,1.0,unknown
