numberOfGuests,roomType,maxNights,minNights,city,state,latitude,longitude,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
1,Private room,365,1,Kilifi,kilifi,-3.6331,39.85603,18.0,1.0,1.0,1,0,0,1,0,0.0,1,0,0,0,1.0,shared
2,Private room,7,1,Watamu,kilifi,-3.345,40.011,23.0,1.0,1.0,1,0,0,0,1,2.0,0,0,0,0,1.0,private
4,Private room,1125,1,Malindi,kilifi,-3.207,40.117,18.0,6.0,3.0,1,0,1,1,1,36.0,1,2,1,0,2.0,shared
2,Private room,365,1,Watamu,kilifi,-3.33991,40.03402,25.0,1.0,1.0,0,0,0,0,0,20.0,1,0,0,0,1.0,private
2,Entire unit,365,1,Mtwapa,kilifi,-3.94098,39.74151,15.0,1.0,1.0,1,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Private room,1125,2,Gede,kilifi,-3.306,40.01077,15.0,2.0,1.0,1,0,0,0,1,0.0,1,0,0,0,1.0,private
1,Private room,90,1,Malindi,kilifi,-3.23857,40.12533,10.0,1.0,1.0,1,0,0,0,1,0.0,1,1,1,0,1.0,shared
4,Shared room,30,1,Kilifi,kilifi,-3.63332,39.85782,10.0,5.0,2.0,1,1,1,1,1,1.0,1,1,4,0,4.0,shared
2,Other,1125,1,Malindi,kilifi,-3.26261,40.05466,15.0,1.0,1.0,1,1,1,1,1,7.0,1,1,0,0,1.0,private
2,Private room,15,1,Watamu,kilifi,-3.34598,40.02577,15.0,1.0,1.0,1,0,0,1,1,0.0,0,1,0,0,1.0,shared
2,Entire unit,1125,1,Malindi,kilifi,-3.219,40.117,24.0,1.0,1.0,0,0,0,0,0,6.0,1,0,0,0,1.0,unknown
5,Private room,30,1,Nairobi,coast,-3.8679,39.80777,13.0,0.0,2.0,1,0,1,0,1,6.0,1,0,0,0,2.0,unknown
4,Entire unit,140,1,Malindi,kilifi,-3.25678,40.12765,22.0,2.0,27.0,0,1,1,1,0,10.0,1,29,0,0,2.0,unknown
4,Entire unit,1125,3,Malindi,coast,-3.3,40.011,25.0,2.0,2.0,0,0,1,0,0,11.0,1,2,0,0,2.0,unknown
2,Entire unit,365,1,Mombasa,Mombasa,-3.994,39.706,10.0,1.0,1.0,0,0,1,0,0,0.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,2,Watamu,kilifi,-3.36701,39.99325,27.0,1.0,1.0,1,0,0,1,0,17.0,1,1,0,0,1.0,unknown
2,Private room,1125,1,Watamu,kilifi,-3.323,39.967,15.0,1.0,1.0,1,1,1,0,1,12.0,0,1,0,0,1.0,private
2,Private room,1125,1,Watamu,NAIROBI,-3.357,40.021,22.0,1.0,1.0,0,0,0,0,0,49.0,1,0,1,0,1.0,private
4,Entire unit,365,1,Malindi,kilifi,-3.219,40.117,23.0,1.0,1.0,1,0,0,0,1,0.0,1,0,0,0,1.0,unknown
4,Entire unit,365,2,Kilifi,kilifi,-3.63424,39.86373,25.0,2.0,2.0,1,0,1,1,1,15.0,1,2,0,0,1.0,unknown
2,Private room,1125,1,Watamu,NAIROBI,-3.357,40.021,22.0,1.0,1.0,0,0,0,0,0,32.0,1,0,1,0,1.0,private
2,Entire unit,365,2,Malindi,kilifi,-3.231,40.127,27.0,1.0,1.0,0,0,0,0,0,3.0,1,0,0,0,1.0,unknown
2,Private room,365,1,Kilifi,kilifi,-3.63909,39.84802,20.0,1.0,1.0,0,0,0,1,0,8.0,1,0,0,0,1.0,private
2,Entire unit,7,2,Malindi,kilifi,-3.22812,40.12816,27.0,1.0,1.0,0,0,0,1,0,52.0,1,0,0,0,1.0,unknown
2,Entire unit,21,1,Malindi,kilifi,-3.24281,40.12525,24.0,1.0,1.0,1,0,0,0,0,193.0,1,1,0,0,1.0,unknown
2,Private room,1125,1,Malindi,kilifi,-3.19795,40.1176,15.0,0.0,1.0,0,0,0,0,0,2.0,0,0,0,0,1.0,private
2,Entire unit,365,1,Kilifi,kilifi,-3.62564,39.86374,16.0,1.0,2.0,0,0,0,0,0,26.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,1,Mariakani,kilifi,-3.86373,39.47427,15.0,1.0,1.0,1,0,1,0,1,3.0,1,0,0,0,1.0,unknown
1,Private room,1125,1,Kilifi,kilifi,-3.609,39.864,13.0,1.0,1.0,0,0,0,0,0,5.0,1,1,0,0,1.0,private
2,Entire unit,1125,1,Malindi,kilifi,-3.189,40.122,33.0,1.0,1.0,1,1,1,0,1,26.0,1,0,0,0,1.0,unknown
1,Private room,90,2,Watamu,kilifi,-3.382,39.978,31.0,1.0,1.0,0,0,0,0,0,24.0,1,1,0,0,1.0,private
2,Entire unit,100,2,Watamu,kilifi,-3.34029,40.03416,31.0,1.0,1.0,0,1,0,1,0,65.0,1,1,0,0,1.0,unknown
3,Entire unit,365,1,Malindi,kilifi,-3.2186,40.11717,28.0,1.0,1.0,1,0,1,0,1,1.0,1,0,0,0,1.0,unknown
2,Entire unit,7,2,Malindi,kilifi,-3.22849,40.13028,28.0,1.0,1.0,0,0,0,0,1,28.0,1,1,0,0,1.0,unknown
2,Private room,1125,1,Watamu,kilifi,-3.341,40.035,25.0,1.0,1.0,1,0,0,0,0,34.0,1,0,0,0,1.0,private
2,Private room,1125,1,Malindi,kilifi,-3.25089,40.12305,30.0,1.0,1.0,1,0,0,0,1,2.0,1,1,0,0,1.0,private
4,Entire unit,1125,1,Malindi,kilifi,-3.22402,40.12455,23.0,2.0,2.0,1,0,1,1,1,30.0,1,1,1,0,2.0,unknown
2,Entire unit,30,1,Malindi,kilifi,-3.21173,40.11741,32.0,1.0,1.0,1,0,0,1,1,9.0,1,1,0,0,1.0,unknown
2,Private room,365,1,Nairobi,kilifi,-3.657,39.848,28.0,1.0,1.0,0,0,0,0,0,0.0,1,0,0,0,1.0,private
2,Entire unit,30,2,Watamu,kilifi,-3.34589,40.01276,30.0,2.0,2.0,0,1,0,1,0,1.0,1,1,0,0,1.0,unknown
10,Private room,1125,1,Malindi,kilifi,-3.21119,40.11188,30.0,6.0,5.0,1,1,1,1,1,82.0,1,5,0,0,4.0,unknown
1,Private room,90,2,Watamu,kilifi,-3.37007,39.99516,29.0,1.0,1.0,1,0,0,1,0,12.0,1,1,0,0,1.0,private
5,Entire unit,365,1,Mombasa,kilifi,-3.93816,39.75391,31.0,2.0,2.0,0,1,0,0,1,0.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Watamu,kilifi,-3.35655,40.00764,33.0,1.0,1.0,1,1,1,1,1,2.0,1,0,0,0,1.0,unknown
2,Private room,1125,1,Watamu,kilifi,-3.31138,40.08322,30.0,1.0,1.0,0,0,1,0,0,1.0,1,0,0,0,1.0,private
2,Entire unit,365,1,Kilifi,kilifi,-3.50515,39.88946,21.0,1.0,1.0,0,0,0,0,0,1.0,1,0,0,0,1.0,unknown
2,Entire unit,10,7,Mombasa,Mombasa,-3.99263,39.73173,20.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Private room,1125,1,Watamu,kilifi,-3.31401,40.08192,30.0,1.0,1.0,0,0,1,0,0,5.0,1,0,0,0,1.0,private
3,Entire unit,1125,1,Mombasa,Mombasa,-3.94991,39.7433,20.0,0.0,2.0,1,1,1,1,1,0.0,1,0,0,0,1.0,unknown
1,Shared room,365,1,Mtwapa,kilifi,-3.94978,39.74437,16.0,1.0,1.0,1,0,0,0,0,0.0,0,0,0,0,1.0,shared
2,Entire unit,365,1,Mtwapa,kilifi,-3.9484,39.74679,20.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
1,Private room,365,1,Mtwapa,kilifi,-3.93921,39.74064,20.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,private
2,Entire unit,1125,1,Mombasa,Mombasa,-3.98013,39.71681,19.0,1.0,2.0,1,0,0,1,1,0.0,1,1,0,0,1.0,unknown
2,Private room,1125,1,Malindi,NAIROBI,-3.2107,40.1136,20.0,5.0,5.0,0,0,0,0,0,1.0,1,5,0,0,1.0,private
2,Private room,1125,2,Gede,kilifi,-3.30602,40.01237,17.0,2.0,1.0,1,0,0,0,1,0.0,1,0,0,0,1.0,private
5,Entire unit,356,1,Kilifi,kilifi,-3.89559,39.77209,18.0,3.0,2.0,1,1,1,1,1,0.0,1,2,1,1,1.0,unknown
2,Private room,7,1,Mtwapa,kilifi,-3.94956,39.75304,16.0,2.0,1.0,0,1,1,1,0,0.0,1,2,0,0,1.0,unknown
2,Entire unit,30,1,Mtwapa,kilifi,-3.95177,39.76052,20.0,1.0,1.0,1,1,1,1,1,0.0,1,1,0,0,1.0,unknown
1,Shared room,365,1,Kilifi,kilifi,-3.93243,39.74304,20.0,1.0,1.0,0,0,0,0,0,0.0,1,0,0,0,1.0,shared
2,Private room,1125,1,Watamu,kilifi,-3.343,40.027,30.0,2.0,1.0,0,1,0,1,0,8.0,1,1,0,0,1.0,shared
2,Entire unit,1125,1,Mtwapa,kilifi,-3.95149,39.75234,15.0,1.0,2.0,1,0,0,1,1,0.0,1,1,0,0,1.0,unknown
2,Entire unit,30,2,Kilifi,kilifi,-3.60579,39.88244,25.0,1.0,1.0,0,0,0,0,0,1.0,1,1,0,0,1.0,unknown
2,Entire unit,365,1,Watamu,kilifi,-3.34049,40.03443,26.0,1.0,1.0,1,0,0,0,0,5.0,0,0,0,0,1.0,unknown
2,Entire unit,90,2,Watamu,kilifi,-3.3627700000000003,39.99601,35.0,1.0,1.0,0,0,0,1,0,19.0,1,1,0,0,1.0,unknown
4,Entire unit,50,1,Watamu,kilifi,-3.35017,40.02,38.0,1.0,1.0,1,0,0,1,1,6.0,1,1,2,0,1.0,unknown
3,Entire unit,1125,1,Mombasa,Mombasa,-3.88262,39.79704,39.0,1.0,1.0,0,0,0,0,1,4.0,1,1,1,0,1.0,unknown
3,Entire unit,1125,2,Mombasa,Mombasa,-3.98159,39.7394,38.0,1.0,1.0,1,1,0,0,1,6.0,1,1,2,0,1.0,unknown
3,Entire unit,1125,1,Mombasa,Mombasa,-3.983,39.744,39.0,2.0,2.0,1,0,0,0,1,121.0,1,1,1,0,1.0,unknown
2,Entire unit,365,1,Malindi,kilifi,-3.19156,40.1242,39.0,1.0,1.0,0,0,0,0,0,31.0,1,0,0,0,1.0,unknown
2,Private room,365,1,Watamu,NAIROBI,-3.37896,39.98984,37.0,2.0,1.0,1,0,0,1,1,24.0,1,2,0,0,1.0,shared
2,Entire unit,28,1,Malindi,kilifi,-3.19827,40.11861,37.0,1.0,1.0,1,0,1,1,0,5.0,1,1,0,0,1.0,unknown
2,Private room,28,2,Malindi,kilifi,-3.23166,40.12741,39.0,1.0,1.0,1,0,0,0,1,10.0,1,1,0,0,1.0,private
2,Private room,1125,1,Watamu,kilifi,-3.31244,40.08052,30.0,1.0,1.0,0,0,1,0,0,7.0,1,1,0,0,1.0,private
2,Private room,1125,2,Mtwapa,Mombasa,-3.95,39.728,27.0,1.0,1.0,1,0,0,0,0,1.0,1,1,0,0,1.0,private
4,Entire unit,365,1,Malindi,kilifi,-3.204,40.118,32.0,1.0,1.0,0,0,0,0,0,0.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Mtwapa,kilifi,-3.93976,39.74245,25.0,1.0,2.0,1,0,0,0,1,0.0,1,0,0,0,1.0,unknown
2,Private room,365,1,Mtwapa,Mombasa,-3.9475,39.75071,23.0,1.0,2.0,0,0,1,0,0,0.0,1,0,0,0,1.0,unknown
6,Entire unit,1125,1,Mombasa,Mombasa,-3.7857,39.83868,32.0,3.0,2.0,1,0,1,1,1,25.0,1,7,0,0,2.0,unknown
4,Entire unit,365,2,Kilifi,kilifi,-3.62041,39.83103,38.0,5.0,2.0,1,0,0,0,1,10.0,1,4,1,0,2.0,unknown
2,Private room,1125,1,DIANI BEACH,Kwale,-4.356,39.558,11.0,2.0,1.0,1,0,0,0,1,65.0,1,1,1,1,1.0,private
3,Other,365,2,Watamu,kilifi,-3.346,40.012,37.0,2.0,1.0,1,0,0,1,0,0.0,1,1,0,0,1.0,private
2,Entire unit,1125,1,Mombasa,coast,-3.95288,39.75285,37.0,1.0,3.0,1,0,0,1,0,52.0,1,3,0,1,1.0,unknown
2,Entire unit,365,1,Watamu,kilifi,-3.359,40.004,39.0,1.0,1.0,1,1,1,1,1,1.0,1,0,0,0,1.0,unknown
4,Entire unit,1125,1,DIANI BEACH,Kwale,-4.355,39.557,14.0,2.0,2.0,1,0,0,0,1,55.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,DIANI BEACH,Kwale,-4.26587,39.59587,15.0,1.0,1.0,1,0,0,1,1,46.0,1,1,0,0,1.0,unknown
4,Other,1125,1,DIANI BEACH,Kwale,-4.356,39.558,12.0,2.0,2.0,1,0,0,0,1,55.0,1,1,1,1,1.0,unknown
2,Private room,1125,30,Tiwi,Kwale,-4.24322,39.59474,15.0,2.0,1.0,0,0,0,0,0,0.0,1,1,1,0,1.0,shared
2,Entire unit,365,1,DIANI BEACH,Kwale,-4.34152,39.55749,17.0,1.0,2.0,1,0,0,1,0,2.0,0,1,1,0,1.0,unknown
2,Private room,5,1,DIANI BEACH,Kwale,-4.309,39.577,17.0,0.0,1.0,1,1,0,1,0,6.0,1,0,0,0,2.0,shared
4,Shared room,30,1,DIANI BEACH,Kwale,-4.30854,39.57752,10.0,1.0,1.0,1,0,1,1,1,1.0,0,0,0,0,1.0,shared
2,Entire unit,1125,1,DIANI BEACH,Kwale,-4.27688,39.59105,20.0,1.0,1.0,1,0,0,1,1,20.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,2,Mtwapa,kilifi,-3.94072,39.74209,25.0,1.0,2.0,1,0,0,0,1,0.0,1,0,0,0,1.0,unknown
2,Entire unit,28,1,Malindi,kilifi,-3.198,40.119,37.0,1.0,1.0,1,0,1,1,0,4.0,1,1,0,0,1.0,unknown
2,Entire unit,30,1,Mtwapa,Mombasa,-3.93758,39.74905,32.0,1.0,1.0,1,0,0,0,1,2.0,0,1,0,0,1.0,unknown
4,Entire unit,1125,2,Watamu,kilifi,-3.343,40.027,38.0,2.0,2.0,1,0,0,1,1,2.0,1,2,0,0,2.0,unknown
6,Private room,1125,1,Nairobi,kilifi,-3.32103,39.9698,25.0,10.0,10.0,1,1,1,1,1,2.0,1,8,2,0,8.0,unknown
4,Entire unit,365,1,Mombasa,Mombasa,-3.994,39.712,23.0,2.0,2.0,1,0,1,1,1,13.0,1,2,0,0,1.0,unknown
2,Private room,1125,1,Malindi,kilifi,-3.25032,40.12386,35.0,1.0,1.0,0,0,0,0,0,0.0,1,1,0,0,1.0,private
2,Entire unit,1125,1,Mombasa,Mombasa,-3.96596,39.74053,23.0,1.0,2.0,1,0,1,1,1,0.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Mtwapa,Mombasa,-3.93915,39.75037,27.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
4,Entire unit,1125,1,Mombasa,Mombasa,-3.99127,39.73441,36.0,3.0,2.0,1,0,1,0,1,6.0,1,0,0,0,2.0,unknown
5,Entire unit,1125,1,Mombasa,Mombasa,-3.99232,39.73208,38.0,3.0,2.0,1,0,0,0,1,79.0,1,3,0,0,1.0,unknown
2,Private room,1125,1,Watamu,kilifi,-3.35541,40.01795,38.0,1.0,1.0,0,0,1,1,0,65.0,1,1,0,0,1.0,private
4,Entire unit,1125,1,Mombasa,Mombasa,-3.95841,39.71939,25.0,2.0,2.0,0,0,1,0,0,32.0,1,2,2,0,1.0,unknown
2,Entire unit,1125,2,Mombasa,Mombasa,-3.98226,39.7405,36.0,1.0,1.0,1,0,1,1,1,4.0,1,0,0,0,2.0,unknown
2,Private room,1125,1,Mombasa,Mombasa,-3.96617,39.75152,25.0,1.0,5.0,1,0,0,0,1,6.0,0,5,0,0,1.0,private
2,Private room,28,2,Malindi,kilifi,-3.23118,40.12766,39.0,1.0,1.0,1,0,0,0,1,28.0,1,1,0,0,1.0,private
2,Private room,14,1,Watamu,kilifi,-3.34249,40.03475,34.0,0.0,1.0,0,0,1,0,0,9.0,1,0,0,0,1.0,private
3,Entire unit,1125,1,Watamu,NAIROBI,-3.35151,40.01977,38.0,2.0,1.0,1,0,0,0,1,14.0,1,1,0,0,1.0,unknown
2,Entire unit,365,1,Watamu,kilifi,-3.33881,40.03929,33.0,1.0,1.0,1,0,0,0,0,9.0,0,0,0,0,1.0,unknown
2,Private room,28,2,Malindi,kilifi,-3.2296,40.12686,39.0,1.0,1.0,1,0,0,0,1,9.0,1,1,0,0,1.0,private
2,Private room,28,2,Malindi,kilifi,-3.23033,40.12643,39.0,1.0,1.0,1,0,0,0,1,20.0,1,1,0,0,1.0,private
2,Entire unit,40,2,Watamu,kilifi,-3.378,39.977,57.0,1.0,1.0,0,0,0,1,0,29.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,1,Mombasa,Mombasa,-3.97649,39.7385,45.0,1.0,2.0,1,1,0,1,1,75.0,1,1,1,0,1.0,unknown
4,Entire unit,365,1,Watamu,kilifi,-3.38278,39.98215,55.0,3.0,1.0,1,0,1,1,1,9.0,0,0,0,0,1.0,unknown
3,Private room,1125,1,Watamu,kilifi,-3.341,40.035,49.0,2.0,1.0,1,0,0,1,1,17.0,1,1,0,0,1.0,unknown
2,Private room,1125,1,DIANI BEACH,Kwale,-4.3545,39.55649,10.0,1.0,1.0,1,0,0,0,1,5.0,1,0,0,0,1.0,shared
2,Entire unit,1125,1,Kilifi,kilifi,-3.50367,39.88634,22.0,0.0,1.0,1,1,1,0,1,0.0,0,0,0,0,1.0,unknown
2,Private room,60,1,Watamu,NAIROBI,-3.36358,39.99848,22.0,1.0,1.0,1,0,0,0,1,3.0,1,1,0,0,1.0,private
6,Entire unit,365,1,Kikambala,kilifi,-3.88283,39.79895,23.0,3.0,3.0,0,0,0,0,0,0.0,0,3,0,0,3.0,unknown
2,Private room,30,3,Msambweni,Kwale,-4.27865,39.56572,14.0,3.0,1.0,0,0,0,1,0,0.0,1,0,0,0,1.0,private
2,Entire unit,1125,1,Mombasa,Mombasa,-4.0014,39.7084,15.0,0.0,1.0,0,0,0,0,0,0.0,1,0,0,0,1.0,unknown
16,Private room,90,1,Mombasa,Mombasa,-4.00349,39.71068,15.0,13.0,13.0,1,1,0,0,0,0.0,1,13,1,0,14.0,unknown
1,Private room,1125,1,Ukunda,Kwale,-4.29005,39.5683,15.0,1.0,2.0,0,0,0,0,0,0.0,1,0,0,0,1.0,shared
4,Private room,1124,1,Watamu,kilifi,-3.341,40.035,55.0,3.0,1.0,1,0,0,1,1,17.0,1,1,1,0,1.0,unknown
6,Private room,180,1,Malindi,NAIROBI,-3.252,40.128,40.0,4.0,3.0,1,0,0,0,1,5.0,1,3,1,0,3.0,unknown
2,Private room,365,2,Kilifi,kilifi,-3.50949,39.91024,33.0,1.0,1.0,0,0,0,0,0,3.0,0,1,0,0,1.0,shared
4,Entire unit,1125,1,Mombasa,Mombasa,-3.99125,39.71088,35.0,4.0,2.0,1,1,0,0,1,5.0,1,3,1,0,2.0,unknown
2,Private room,365,2,Kilifi,kilifi,-3.51024,39.91009,33.0,1.0,1.0,0,0,0,0,0,3.0,0,1,0,0,1.0,shared
4,Entire unit,1125,2,Malindi,NAIROBI,-3.20606,40.11779,33.0,3.0,2.0,1,0,1,1,1,6.0,1,3,0,0,2.0,unknown
1,Private room,28,2,Watamu,kilifi,-3.35265,40.01859,35.0,1.0,1.0,1,0,0,0,1,0.0,1,0,0,0,2.0,shared
2,Private room,90,1,Watamu,kilifi,-3.3469100000000003,40.02588,35.0,1.0,1.0,1,0,0,0,1,0.0,1,1,0,0,1.0,shared
4,Private room,1125,1,Mombasa,kilifi,-3.321,39.971,34.0,2.0,1.0,1,1,1,0,1,1.0,1,2,0,0,1.0,private
4,Entire unit,30,2,Watamu,kilifi,-3.37166,39.99536,35.0,2.0,2.0,1,1,1,1,1,0.0,1,2,0,0,2.0,unknown
2,Other,365,1,Watamu,kilifi,-3.38308,39.98137,34.0,3.0,1.0,0,0,1,1,0,2.0,1,0,0,0,0.0,unknown
8,Private room,365,1,Mtwapa,Mombasa,-3.954,39.753,28.0,8.0,1.0,0,1,0,1,0,0.0,1,0,0,0,8.0,unknown
4,Entire unit,1125,1,Kaloleni,NAIROBI,-3.80708,39.61995,34.0,3.0,2.0,1,1,1,1,1,0.0,1,3,0,0,2.0,unknown
2,Entire unit,1125,2,Mombasa,Mombasa,-3.98964,39.73647,29.0,1.0,1.0,0,1,0,0,1,0.0,0,1,0,0,1.0,unknown
2,Entire unit,7,2,Mtwapa,kilifi,-3.95059,39.75498,29.0,2.0,2.0,1,0,0,1,0,0.0,1,3,0,0,2.0,unknown
1,Private room,28,2,Watamu,kilifi,-3.35221,40.0185,35.0,1.0,1.0,1,0,0,0,1,0.0,1,0,0,0,2.0,shared
2,Private room,90,1,Watamu,kilifi,-3.32559,40.06472,27.0,2.0,1.0,1,1,1,1,1,1.0,1,1,1,0,1.0,shared
1,Private room,1125,1,Mombasa,Mombasa,-3.94866,39.74733,29.0,16.0,2.0,0,1,0,1,0,0.0,1,5,0,0,1.0,unknown
4,Entire unit,6,1,Mombasa,Mombasa,-3.99535,39.73055,29.0,6.0,4.0,1,1,0,1,1,0.0,1,4,0,0,4.0,unknown
4,Entire unit,365,1,Mombasa,Mombasa,-3.9935,39.73065,44.0,2.0,2.0,0,0,0,0,0,0.0,1,0,0,0,3.0,unknown
2,Private room,1125,1,Mambrui,kilifi,-3.09264,40.15068,44.0,1.0,1.0,1,1,0,0,1,0.0,1,1,0,0,1.0,private
2,Private room,1125,2,Watamu,kilifi,-3.34929,40.0218,45.0,2.0,1.0,1,0,1,0,1,0.0,1,1,0,0,1.0,private
4,Entire unit,1125,1,Mombasa,coast,-3.97471,39.72898,44.0,3.0,2.0,1,0,0,0,1,2.0,1,3,0,0,1.0,unknown
2,Private room,14,2,Malindi,kilifi,-3.20495,40.10618,45.0,1.0,3.0,1,0,0,1,1,1.0,1,3,1,0,1.0,private
2,Private room,365,1,Malindi,kilifi,-3.20554,40.10977,35.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,2.0,unknown
2,Private room,365,1,Mtwapa,kilifi,-3.94887,39.74939,44.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,private
2,Entire unit,1125,1,Mombasa,Mombasa,-3.97356,39.74961,35.0,1.0,2.0,1,0,0,0,1,0.0,0,0,0,0,0.0,unknown
4,Private room,1125,2,Mtwapa,kilifi,-3.95424,39.75615,44.0,2.0,2.0,1,1,0,0,1,0.0,0,2,0,0,2.0,unknown
2,Other,1125,2,Kilifi,kilifi,-3.5853,39.89324,50.0,1.0,1.0,1,0,0,1,1,43.0,1,1,0,0,1.0,unknown
12,Shared room,1125,1,Kikambala,kilifi,-3.82588,39.80219,44.0,6.0,6.0,1,1,0,0,1,1.0,1,6,0,0,8.0,shared
6,Entire unit,1125,1,Malindi,kilifi,-3.23248,40.12066,45.0,2.0,3.0,1,0,1,0,1,0.0,1,2,0,0,3.0,unknown
4,Entire unit,1125,1,Mombasa,Mombasa,-3.98307,39.72463,45.0,3.0,2.0,1,0,0,0,1,0.0,1,1,1,0,1.0,unknown
6,Entire unit,365,1,Mtwapa,Mombasa,-3.94715,39.75327,35.0,4.0,3.0,1,0,0,1,1,0.0,1,3,0,0,2.0,unknown
2,Private room,1125,1,Mambrui,kilifi,-3.09224,40.15521,44.0,1.0,1.0,1,1,0,1,1,0.0,1,1,0,0,1.0,private
10,Entire unit,365,2,Mtwapa,kilifi,-3.94973,39.75062,35.0,4.0,4.0,1,0,0,0,1,0.0,1,3,3,0,3.0,unknown
14,Entire unit,1125,2,Malindi,coast,-3.22514,40.12299,34.0,4.0,14.0,1,0,1,1,1,0.0,1,4,0,0,17.0,unknown
2,Other,1125,1,Kilifi,kilifi,-3.67024,39.83899,35.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
5,Entire unit,1125,1,Mtwapa,kilifi,-3.94927,39.75323,35.0,4.0,3.0,1,1,0,0,1,0.0,1,3,0,0,2.0,unknown
2,Private room,90,1,Watamu,kilifi,-3.33922,40.0415,33.0,1.0,1.0,1,1,1,1,1,0.0,1,1,0,0,1.0,private
6,Entire unit,90,2,Kikambala,kilifi,-3.82508,39.80561,35.0,3.0,2.0,0,0,0,1,0,3.0,0,3,0,0,1.0,unknown
2,Entire unit,365,1,Mombasa,Mombasa,-3.96766,39.74962,35.0,1.0,1.0,1,0,0,0,1,0.0,0,1,1,0,1.0,unknown
2,Entire unit,365,1,Mombasa,Mombasa,-3.9519,39.76421,21.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,1.0,unknown
4,Entire unit,1125,1,Mombasa,Mombasa,-3.99766,39.72262,35.0,3.0,2.0,1,0,1,0,1,1.0,1,1,1,0,1.0,unknown
4,Entire unit,365,2,Mtwapa,kilifi,-3.91832,39.76032,35.0,2.0,2.0,0,1,0,1,0,0.0,1,2,0,0,1.0,unknown
16,Other,1125,1,Mombasa,Mombasa,-3.94912,39.74762,23.0,16.0,2.0,1,1,0,1,1,0.0,1,5,0,0,1.0,private
4,Entire unit,1125,3,Mombasa,Mombasa,-3.97131,39.75028,35.0,2.0,2.0,1,0,0,0,1,0.0,1,1,1,0,3.0,unknown
6,Entire unit,1125,1,Malindi,kilifi,-3.15349,40.1298,22.0,3.0,3.0,0,1,1,0,0,6.0,0,0,0,0,1.0,unknown
4,Private room,1125,1,Watamu,NAIROBI,-3.36455,39.99759,22.0,2.0,1.0,1,0,1,0,1,1.0,1,2,0,0,1.0,shared
3,Entire unit,1125,1,Mtwapa,Mombasa,-3.93961,39.74914,21.0,1.0,1.0,0,1,1,1,0,0.0,1,1,1,0,1.0,unknown
4,Entire unit,1125,1,Waa,Kwale,-4.17918,39.59722,15.0,2.0,1.0,1,0,0,1,1,0.0,1,1,1,0,1.0,unknown
16,Private room,90,1,Mtwapa,kilifi,-3.95212,39.74642,35.0,10.0,16.0,1,1,0,0,1,0.0,1,10,0,0,16.0,shared
16,Private room,1125,1,Mtwapa,kilifi,-3.9439,39.74365,35.0,2.0,2.0,1,1,0,0,1,0.0,1,1,0,0,17.0,unknown
16,Other,1125,1,Mtwapa,Mombasa,-3.95382,39.74658,35.0,35.0,2.0,1,1,0,1,1,1.0,1,10,15,0,25.0,shared
2,Entire unit,1125,1,Mombasa,Mombasa,-3.93827,39.74966,35.0,1.0,1.0,1,0,0,1,1,0.0,0,1,0,0,1.0,unknown
6,Private room,365,1,Mombasa,Mombasa,-3.9875,39.72157,35.0,0.0,2.0,0,0,0,0,0,0.0,1,0,0,0,2.0,unknown
1,Entire unit,30,2,Mombasa,Mombasa,-4.002,39.707,15.0,1.0,1.0,1,1,1,1,0,0.0,1,1,1,0,1.0,unknown
2,Entire unit,365,1,Mombasa,Mombasa,-3.99445,39.71368,35.0,3.0,2.0,0,0,0,0,0,0.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,Mombasa,Mombasa,-4.01305,39.70753,15.0,1.0,2.0,0,0,0,0,0,0.0,1,0,0,0,1.0,unknown
2,Entire unit,90,7,Mombasa,Mombasa,-4.00418,39.71195,15.0,2.0,2.0,1,0,0,1,1,0.0,1,1,0,0,1.0,unknown
2,Private room,365,1,Mtwapa,Mombasa,-3.93894,39.74569,23.0,1.0,2.0,1,0,0,0,0,2.0,0,1,0,0,1.0,unknown
2,Entire unit,90,1,Ukunda,Kwale,-4.30855,39.57793,15.0,1.0,1.0,1,0,1,0,1,4.0,1,1,0,0,1.0,unknown
