numberOfGuests,roomType,maxNights,city,state,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
8,Entire unit,1125,Nanyuki,Laikipia,247.0,4.0,4.0,1,0,0,0,1,10.0,1,3,0,0,5.0,unknown
2,Other,1125,Mombasa,Mombasa,35.0,1.0,1.0,1,1,0,0,1,8.0,1,1,0,0,1.0,private
2,Private room,31,Mombasa,Mombasa,17.0,1.0,2.0,1,0,0,1,0,5.0,1,0,0,0,1.0,shared
8,Entire unit,1125,Mombasa,coast,350.0,6.0,4.0,1,1,0,1,0,0.0,1,0,0,0,4.0,unknown
5,Entire unit,1125,Pridelands,Machakos,43.0,3.0,3.0,1,1,0,0,1,0.0,1,1,1,0,3.0,unknown
4,Entire unit,365,Nairobi,NAIROBI,78.0,2.0,2.0,1,0,0,0,1,0.0,1,0,0,0,2.0,unknown
2,Private room,60,Nairobi,NAIROBI,10.0,1.0,2.0,1,1,0,0,1,0.0,0,0,0,0,1.0,unknown
3,Entire unit,365,Mombasa,Mombasa,21.0,1.0,1.0,0,1,1,1,0,1.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,Kiambu,20.0,1.0,1.0,0,0,0,0,0,8.0,1,0,0,0,1.0,unknown
1,Entire unit,1125,Nairobi,NAIROBI,22.0,1.0,2.0,0,0,1,1,0,2.0,1,1,0,0,1.0,unknown
2,Entire unit,365,Nakuru,Nakuru,20.0,1.0,1.0,1,0,1,1,1,11.0,0,1,0,0,1.0,unknown
4,Entire unit,365,Athi River,Kajiado,30.0,3.0,3.0,1,0,1,0,1,2.0,1,0,0,0,2.0,unknown
9,Entire unit,1125,Nairobi,kilifi,350.0,4.0,4.0,1,1,1,1,1,1.0,1,3,0,0,5.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,60.0,1.0,1.0,0,0,0,0,0,47.0,1,1,0,0,1.0,unknown
2,Other,1125,Nairobi,NAIROBI,55.0,1.0,1.0,1,1,1,0,1,1.0,1,0,0,0,1.0,private
4,Private room,90,Pridelands,Machakos,12.0,1.0,1.0,1,1,1,1,1,0.0,1,0,0,0,1.0,shared
1,Private room,1125,Nairobi,NAIROBI,53.0,1.0,1.0,0,0,0,0,0,0.0,1,1,0,0,1.0,private
16,Entire unit,365,Watamu,kilifi,450.0,4.0,9.0,1,1,1,1,1,0.0,1,4,2,0,9.0,unknown
4,Private room,30,DIANI BEACH,Kwale,37.0,5.0,1.0,0,0,0,1,0,2.0,1,1,2,0,1.0,shared
4,Entire unit,1125,Naivasha,Nakuru,200.0,2.0,2.0,1,0,1,1,1,38.0,1,2,0,0,1.0,unknown
2,Private room,1125,Mombasa,Mombasa,33.0,1.0,1.0,1,0,0,1,1,0.0,1,0,0,0,1.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,35.0,0.0,1.0,1,0,0,0,1,14.0,0,0,0,0,1.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,50.0,4.0,2.0,0,1,0,1,1,1.0,1,4,0,0,1.0,unknown
6,Entire unit,1125,Nairobi,NAIROBI,100.0,3.0,3.0,1,0,1,0,0,12.0,1,3,0,0,3.0,unknown
3,Private room,1125,Malindi,kilifi,144.0,2.0,1.0,1,0,1,0,1,0.0,1,1,0,0,1.0,private
6,Entire unit,1125,Nairobi,Kiambu,75.0,3.0,3.0,1,0,1,0,1,0.0,1,1,0,0,2.0,unknown
2,Private room,1125,Watamu,kilifi,25.0,1.0,1.0,0,0,1,0,0,11.0,1,0,0,0,1.0,private
2,Entire unit,365,Nairobi,NAIROBI,42.0,1.0,1.0,1,0,0,0,1,4.0,1,1,0,0,1.0,unknown
2,Entire unit,7,Nairobi,NAIROBI,55.0,1.0,1.0,1,0,0,0,1,5.0,1,1,0,0,1.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,62.0,2.0,2.0,1,0,1,0,1,7.0,1,1,0,0,2.0,unknown
1,Private room,7,Taveta,Taita-Taveta County,22.0,1.0,1.0,1,0,1,0,1,2.0,0,0,0,0,1.0,private
16,Private room,1125,Nairobi,NAIROBI,30.0,22.0,16.0,1,0,0,1,1,1.0,0,5,0,0,20.0,unknown
8,Entire unit,365,Mombasa,Mombasa,85.0,4.0,4.0,1,0,0,1,1,4.0,1,3,0,0,6.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,10.0,1.0,1.0,0,0,0,0,0,15.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,South,NAIROBI,27.0,1.0,1.0,1,1,1,1,1,26.0,1,1,0,0,1.0,unknown
2,Entire unit,1112,Mombasa,Mombasa,58.0,1.0,1.0,1,0,1,1,1,1.0,1,3,0,0,1.0,unknown
6,Entire unit,1125,Kilifi,coast,250.0,6.0,3.0,0,1,1,1,0,9.0,1,2,0,0,3.0,unknown
6,Entire unit,1125,Kilifi,coast,200.0,4.0,3.0,1,0,0,0,1,2.0,1,3,0,0,2.0,unknown
10,Entire unit,1125,Nanyuki,Laikipia,170.0,5.0,5.0,1,1,1,1,1,18.0,1,5,0,0,4.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,28.0,1.0,1.0,0,1,0,1,0,0.0,1,1,0,0,1.0,unknown
8,Entire unit,1125,Kilifi,kilifi,273.0,9.0,5.0,1,0,0,1,1,2.0,1,9,1,0,4.0,unknown
6,Entire unit,365,Nakuru,Nakuru,113.0,3.0,3.0,1,0,0,0,1,1.0,1,3,0,0,3.0,unknown
2,Private room,1125,Kilifi,kilifi,50.0,1.0,1.0,1,0,0,0,1,4.0,1,1,0,0,1.0,shared
2,Entire unit,1125,Kisumu,Kisumu,18.0,2.0,1.0,1,0,0,1,0,36.0,0,1,1,0,1.0,unknown
6,Entire unit,1125,Nakuru,Nakuru,40.0,0.0,2.0,1,1,1,1,1,2.0,1,0,0,0,2.0,unknown
4,Private room,30,Nanyuki,Laikipia,100.0,1.0,2.0,0,0,0,1,0,54.0,0,0,0,0,1.0,shared
4,Entire unit,1125,Nairobi,Kisaju,100.0,3.0,2.0,1,1,1,1,1,2.0,1,1,0,0,2.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,17.0,1.0,1.0,1,0,0,0,1,2.0,1,0,0,0,1.0,unknown
10,Entire unit,30,Nairobi,NAIROBI,92.0,5.0,5.0,1,1,0,0,1,19.0,1,5,0,0,5.0,unknown
1,Private room,1125,Ruaka,Kiambu,10.0,2.0,2.0,1,0,0,0,1,3.0,1,1,0,0,1.0,shared
10,Entire unit,1125,Mombasa,Mombasa,350.0,5.0,5.0,1,0,1,0,1,4.0,1,3,0,0,6.0,unknown
4,Private room,1125,Kitale,Trans-Nzoia County,22.0,2.0,2.0,0,1,1,0,0,0.0,1,0,0,0,1.0,shared
8,Entire unit,365,Mtwapa,kilifi,230.0,4.0,3.0,1,0,0,0,1,0.0,1,2,0,0,3.0,unknown
2,Private room,60,Watamu,kilifi,62.0,1.0,1.0,1,0,0,0,1,2.0,1,1,0,0,0.0,shared
6,Entire unit,1125,Nakuru,Nakuru,50.0,4.0,3.0,1,0,1,0,1,1.0,1,2,0,0,3.0,unknown
4,Private room,1125,Nairobi,Nyandarua County,150.0,2.0,2.0,0,1,1,1,0,7.0,0,0,0,0,1.0,shared
4,Entire unit,1125,Ongata Rongai,Kajiado,38.0,2.0,2.0,1,1,1,1,1,5.0,1,1,0,0,2.0,unknown
16,Other,1125,Mombasa,Mombasa,23.0,16.0,2.0,1,1,0,1,1,0.0,1,5,0,0,1.0,private
2,Entire unit,1125,Nairobi,NAIROBI,60.0,1.0,1.0,1,0,0,0,1,237.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,37.0,1.0,1.0,0,1,0,1,0,13.0,1,0,0,0,1.0,unknown
2,Private room,365,Naivasha,Nakuru,43.0,1.0,1.0,0,0,0,0,0,9.0,0,0,0,0,1.0,private
2,Private room,1125,Nairobi,NAIROBI,18.0,2.0,1.0,0,0,0,0,0,6.0,1,0,0,0,1.0,shared
2,Entire unit,1125,Nairobi,NAIROBI,55.0,1.0,1.0,1,1,0,1,1,1.0,1,1,0,0,1.0,unknown
2,Private room,1125,Tarime,Mara Region,22.0,1.0,2.0,0,1,0,1,0,0.0,1,0,0,0,1.0,private
4,Entire unit,1124,Nairobi,NAIROBI,182.0,2.0,2.0,0,0,0,1,0,3.0,1,0,0,0,2.0,unknown
6,Entire unit,1125,Watamu,kilifi,129.0,4.0,3.0,1,1,0,1,1,66.0,1,2,0,0,3.0,unknown
6,Entire unit,1125,Nairobi,NAIROBI,30.0,3.0,3.0,1,0,0,0,1,0.0,1,3,0,0,3.0,unknown
10,Entire unit,1125,DIANI BEACH,Kwale,295.0,7.0,5.0,1,0,1,0,1,29.0,1,7,0,0,5.0,unknown
2,Private room,30,Eldoret,Uasin Gishu County,10.0,0.0,1.0,1,0,1,0,0,2.0,0,0,0,0,1.0,shared
2,Entire unit,1125,Mombasa,Mombasa,44.0,1.0,2.0,1,0,1,1,1,37.0,1,0,0,0,1.0,unknown
2,Entire unit,30,Nairobi,NAIROBI,26.0,1.0,2.0,1,1,1,1,0,40.0,1,0,0,0,1.0,unknown
10,Entire unit,1125,Nairobi,NAIROBI,85.0,6.0,5.0,0,0,0,0,0,68.0,1,6,0,0,4.0,unknown
4,Entire unit,1125,Ruaka,Kiambu,20.0,2.0,2.0,1,0,0,0,1,14.0,0,0,0,0,1.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,70.0,2.0,2.0,1,0,0,0,1,6.0,1,0,0,0,2.0,unknown
2,Private room,365,Athi River,Machakos,27.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,private
10,Entire unit,1125,Malindi,kilifi,150.0,8.0,5.0,1,0,1,1,0,3.0,1,6,0,0,3.0,unknown
5,Entire unit,1125,Nairobi,NAIROBI,55.0,3.0,3.0,1,0,0,0,1,17.0,1,3,0,0,3.0,unknown
4,Entire unit,1125,Githurai,NAIROBI,15.0,2.0,1.0,0,0,1,0,0,0.0,1,0,0,0,1.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,45.0,1.0,1.0,0,0,1,0,0,2.0,1,0,0,0,2.0,unknown
8,Entire unit,1125,Kilifi,kilifi,182.0,6.0,4.0,0,0,1,1,0,89.0,1,6,0,0,4.0,unknown
2,Entire unit,365,Mombasa,coast,19.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,35.0,1.0,1.0,0,0,0,0,0,11.0,1,1,0,0,1.0,unknown
2,Entire unit,365,Eldoret,Uasin Gishu County,33.0,1.0,1.0,0,0,0,0,0,18.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,44.0,1.0,1.0,1,0,1,0,1,50.0,1,1,0,0,1.0,unknown
1,Private room,1125,Nairobi,NAIROBI,29.0,1.0,1.0,1,0,0,0,1,10.0,1,1,0,0,1.0,shared
12,Entire unit,30,DIANI BEACH,NAIROBI,280.0,6.0,6.0,0,1,0,0,0,0.0,1,3,0,0,5.0,unknown
2,Entire unit,365,Mombasa,Mombasa,22.0,1.0,1.0,0,0,0,0,0,0.0,1,2,0,0,1.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,11.0,1.0,2.0,0,0,0,0,0,7.0,0,0,0,0,1.0,unknown
14,Private room,1125,Watamu,kilifi,25.0,8.0,5.0,1,1,1,1,1,2.0,1,7,0,0,3.0,unknown
2,Entire unit,1125,DIANI BEACH,Kwale,15.0,1.0,1.0,1,0,1,1,1,7.0,1,0,0,0,1.0,unknown
2,Entire unit,365,Kakamega,Kakamega,18.0,1.0,1.0,1,0,0,0,1,1.0,0,0,0,0,1.0,unknown
6,Entire unit,1125,Nairobi,NAIROBI,110.0,3.0,3.0,1,0,0,0,1,21.0,1,3,0,0,3.0,unknown
13,Entire unit,1125,DIANI BEACH,NAIROBI,220.0,10.0,4.0,1,1,0,1,1,1.0,1,9,0,0,4.0,unknown
8,Entire unit,1125,Kiserian,Kajiado,236.0,4.0,4.0,1,1,1,0,1,38.0,1,2,0,0,4.0,unknown
2,Entire unit,365,Laikipia,Laikipia,120.0,1.0,2.0,0,0,0,0,0,0.0,1,0,0,0,1.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,26.0,1.0,1.0,1,0,0,1,1,2.0,1,1,0,0,1.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,32.0,1.0,2.0,1,0,1,1,1,0.0,1,0,0,0,2.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,21.0,1.0,2.0,0,0,0,1,0,34.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,18.0,1.0,1.0,1,0,1,0,1,23.0,1,0,0,0,1.0,unknown
4,Entire unit,1125,Nairobi,Machakos,35.0,3.0,2.0,1,0,0,1,1,41.0,1,3,0,0,2.0,unknown
6,Private room,1125,Pridelands,Machakos,30.0,3.0,3.0,1,0,0,0,1,0.0,0,3,0,0,2.0,shared
2,Private room,1125,Nairobi,NAIROBI,30.0,1.0,1.0,1,1,0,0,1,0.0,1,0,0,0,1.0,shared
1,Entire unit,1125,Nairobi,NAIROBI,12.0,1.0,1.0,1,0,0,0,1,14.0,1,1,0,0,1.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,31.0,1.0,1.0,0,0,0,0,0,0.0,0,1,0,0,2.0,unknown
3,Entire unit,90,Mbita,Homa Bay,30.0,3.0,3.0,1,1,0,0,1,0.0,1,3,0,0,1.0,unknown
2,Private room,27,Ongata Rongai,Kajiado,51.0,1.0,1.0,0,0,0,0,0,0.0,1,1,0,0,1.0,private
2,Private room,1125,Talek,Narok,60.0,2.0,1.0,1,0,0,1,1,12.0,1,0,0,0,3.0,shared
2,Entire unit,365,Mombasa,Mombasa,30.0,1.0,2.0,1,1,1,1,1,4.0,1,0,0,0,1.0,unknown
3,Entire unit,1125,Mombasa,NAIROBI,37.0,1.0,1.0,1,0,1,1,1,16.0,1,1,1,0,2.0,unknown
6,Entire unit,365,Nairobi,NAIROBI,65.0,3.0,3.0,1,0,0,0,0,0.0,1,3,0,0,3.0,unknown
6,Entire unit,1125,Mombasa,Mombasa,32.0,3.0,2.0,1,0,1,1,1,25.0,1,7,0,0,2.0,unknown
1,Private room,170,Nairobi,NAIROBI,15.0,2.0,2.0,0,0,0,0,0,1.0,1,2,0,0,2.0,unknown
2,Entire unit,40,Watamu,kilifi,57.0,1.0,1.0,0,0,0,1,0,29.0,1,1,0,0,1.0,unknown
8,Entire unit,1125,Nairobi,NAIROBI,60.0,4.0,3.0,1,1,1,0,1,45.0,1,1,0,0,3.0,unknown
2,Private room,1125,Nairobi,NAIROBI,49.0,2.0,1.0,1,1,0,0,1,1.0,1,1,1,0,1.0,private
8,Entire unit,1125,DIANI BEACH,Kwale,436.0,4.0,4.0,1,0,1,1,1,43.0,1,4,0,1,4.0,unknown
6,Entire unit,210,Nanyuki,Laikipia,80.0,3.0,3.0,1,0,0,0,1,3.0,1,3,0,0,2.0,unknown
2,Entire unit,1125,Suneka,Kisii County,20.0,0.0,2.0,1,1,0,0,1,0.0,1,0,0,0,1.0,unknown
4,Private room,1125,Nairobi,NAIROBI,22.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Private room,7,Nairobi,NAIROBI,25.0,1.0,1.0,1,0,0,1,0,0.0,1,1,0,0,1.0,shared
2,Entire unit,1125,Nairobi,NAIROBI,54.0,1.0,1.0,1,0,1,1,1,3.0,1,1,1,0,1.0,unknown
2,Entire unit,90,Juja,Kiambu,25.0,2.0,2.0,1,0,0,0,1,2.0,0,2,0,0,1.0,unknown
3,Private room,365,Kilifi,kilifi,16.0,1.0,1.0,0,0,0,0,0,0.0,1,3,0,0,1.0,shared
4,Other,1125,Machakos,Machakos,15.0,4.0,12.0,1,1,1,0,1,0.0,0,4,0,0,1.0,unknown
4,Entire unit,30,Mombasa,coast,240.0,3.0,2.0,1,1,0,1,1,1.0,1,3,0,0,2.0,unknown
6,Entire unit,365,Nairobi,NAIROBI,166.0,3.0,3.0,0,0,1,0,0,1.0,1,0,0,0,3.0,unknown
2,Private room,1125,Nairobi,NAIROBI,10.0,2.0,2.0,0,0,0,0,0,0.0,1,0,0,0,1.0,private
4,Entire unit,1125,Kakamega,Kakamega,23.0,2.0,2.0,1,0,0,1,1,21.0,0,0,0,0,1.0,unknown
6,Entire unit,1125,Nairobi,NAIROBI,200.0,3.0,3.0,1,0,0,1,1,4.0,1,3,0,0,2.0,unknown
4,Entire unit,365,Nairobi,NAIROBI,55.0,2.0,2.0,0,0,0,0,0,3.0,1,0,0,0,2.0,unknown
3,Entire unit,1125,Mombasa,Mombasa,50.0,1.0,2.0,1,1,0,0,1,65.0,1,1,0,0,1.0,unknown
4,Entire unit,365,Nairobi,NAIROBI,55.0,2.0,2.0,0,0,0,0,0,2.0,1,1,0,0,1.0,unknown
4,Entire unit,14,Meru,Meru,37.0,3.0,2.0,1,0,0,0,1,18.0,0,3,0,0,2.0,unknown
6,Entire unit,14,Naivasha,Nakuru,480.0,4.0,3.0,1,0,0,0,1,19.0,1,3,0,1,2.0,unknown
2,Private room,30,Malindi,kilifi,55.0,1.0,1.0,1,0,0,1,0,0.0,1,0,0,0,1.0,private
5,Entire unit,365,Mombasa,Mombasa,150.0,4.0,3.0,1,0,1,0,1,0.0,1,2,0,0,2.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,14.0,1.0,1.0,0,0,0,0,0,43.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,100.0,0.0,1.0,1,0,0,0,1,0.0,1,0,0,0,1.0,unknown
3,Other,1125,Nanyuki,Nyeri,112.0,2.0,1.0,1,0,1,0,1,143.0,1,1,0,0,1.0,unknown
1,Entire unit,1125,Nairobi,NAIROBI,11.0,1.0,2.0,1,0,0,1,0,1.0,1,1,0,0,1.0,unknown
4,Entire unit,1125,Mombasa,Mombasa,50.0,3.0,2.0,0,0,0,0,0,9.0,1,3,1,0,1.0,unknown
2,Private room,30,Mtwapa,kilifi,28.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,private
4,Entire unit,365,Nairobi,NAIROBI,56.0,2.0,2.0,0,0,0,0,0,0.0,1,0,0,0,2.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,23.0,1.0,1.0,1,0,0,0,1,44.0,1,1,0,0,1.0,unknown
2,Other,30,Kisumu,Kisumu,19.0,1.0,1.0,1,1,1,1,1,8.0,1,1,0,0,1.0,unknown
2,Private room,365,Mtwapa,kilifi,44.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,private
6,Entire unit,1125,Kiserian,Kajiado,110.0,6.0,5.0,0,0,0,1,0,146.0,1,3,0,0,1.0,unknown
8,Entire unit,1125,Nakuru,Nakuru,120.0,4.0,4.0,0,1,0,0,0,6.0,1,0,0,0,3.0,unknown
10,Entire unit,28,Watamu,kilifi,145.0,5.0,4.0,1,0,1,0,1,29.0,1,3,0,0,4.0,unknown
6,Entire unit,1125,DIANI BEACH,Kwale,87.0,2.0,3.0,1,0,0,1,1,86.0,1,2,0,0,3.0,unknown
4,Shared room,1125,Mombasa,Mombasa,22.0,2.0,2.0,1,1,0,1,1,0.0,1,2,0,0,1.0,shared
7,Entire unit,1125,Karatina,Nyeri,85.0,5.0,3.0,1,0,1,0,1,69.0,1,3,0,0,3.0,unknown
2,Private room,7,Malindi,kilifi,44.0,1.0,1.0,0,0,0,0,0,1.0,1,0,0,0,1.0,unknown
6,Entire unit,60,Nairobi,NAIROBI,200.0,5.0,3.0,1,1,0,0,1,0.0,1,3,0,0,0.0,unknown
2,Other,1125,Nairobi,NAIROBI,22.0,1.0,1.0,1,0,0,0,1,36.0,1,1,0,0,1.0,unknown
4,Entire unit,1125,Nakuru,Nakuru,32.0,3.0,2.0,1,0,0,0,1,49.0,1,3,0,0,2.0,unknown
5,Entire unit,1125,Nairobi,NAIROBI,30.0,4.0,4.0,1,1,1,1,1,0.0,1,3,0,0,1.0,unknown
2,Entire unit,1125,Athi River,Eastern,19.0,1.0,1.0,1,0,0,0,1,63.0,1,1,0,0,1.0,unknown
6,Entire unit,365,Nairobi,NAIROBI,230.0,3.0,3.0,0,0,0,0,0,0.0,1,0,0,0,3.0,unknown
2,Private room,1125,Nairobi,NAIROBI,13.0,1.0,1.0,1,0,0,0,1,137.0,0,1,0,0,1.0,shared
2,Private room,1125,Nairobi,NAIROBI,15.0,1.0,1.0,1,0,0,1,1,12.0,1,0,0,0,1.0,private
2,Entire unit,30,Tiwi,Kwale,166.0,2.0,1.0,1,0,0,0,0,184.0,1,1,0,0,1.0,unknown
2,Private room,1125,Nairobi,NAIROBI,30.0,1.0,3.0,1,1,1,0,1,8.0,1,3,0,0,1.0,shared
2,Other,365,Ngong,Kajiado,160.0,1.0,1.0,1,0,0,0,1,3.0,1,1,0,0,1.0,unknown
2,Private room,1125,Isiolo,Isiolo County,24.0,1.0,2.0,1,0,0,1,1,1.0,1,0,0,0,1.0,unknown
3,Entire unit,1125,Mombasa,NAIROBI,30.0,1.0,1.0,1,1,0,1,1,2.0,1,1,0,0,1.0,unknown
3,Entire unit,60,Nairobi,NAIROBI,40.0,2.0,2.0,1,0,0,0,0,16.0,1,1,0,0,1.0,unknown
4,Entire unit,1125,Mombasa,Mombasa,250.0,4.0,2.0,0,0,0,0,0,0.0,1,2,0,0,2.0,unknown
5,Entire unit,1125,Nairobi,NAIROBI,44.0,3.0,3.0,1,0,0,0,1,105.0,1,3,0,0,3.0,unknown
6,Entire unit,90,Malindi,kilifi,164.0,4.0,3.0,1,0,1,1,1,1.0,1,3,0,0,3.0,unknown
3,Entire unit,365,Nairobi,NAIROBI,15.0,2.0,1.0,0,0,0,0,0,7.0,1,0,0,0,1.0,unknown
6,Entire unit,1125,Nairobi,NAIROBI,85.0,3.0,3.0,1,0,0,0,1,35.0,0,3,0,0,3.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,29.0,2.0,2.0,1,0,0,0,1,0.0,0,0,0,0,2.0,unknown
6,Entire unit,1125,Migori,Migori County,38.0,4.0,3.0,0,0,1,0,0,29.0,1,1,1,0,1.0,unknown
6,Entire unit,30,Nairobi,NAIROBI,68.0,3.0,3.0,1,0,0,0,1,28.0,1,3,0,0,2.0,unknown
8,Entire unit,365,Malili,Makueni County,300.0,4.0,4.0,0,0,0,0,0,0.0,0,0,0,0,4.0,unknown
6,Entire unit,1125,Malindi,kilifi,95.0,3.0,3.0,1,0,0,0,1,34.0,1,3,0,0,3.0,unknown
4,Private room,365,Malindi,kilifi,60.0,2.0,2.0,0,0,0,0,0,0.0,1,0,0,0,2.0,unknown
2,Private room,1125,Gilgil,Nakuru,40.0,2.0,1.0,1,1,1,1,1,2.0,1,0,0,0,1.0,private
8,Entire unit,1125,Tiwi,Kwale,150.0,7.0,4.0,1,0,1,0,1,129.0,1,7,0,0,4.0,unknown
2,Entire unit,1125,Nairobi,Kajiado,200.0,1.0,1.0,0,0,0,1,0,74.0,1,1,0,0,1.0,unknown
8,Entire unit,365,Mtwapa,kilifi,162.0,1.0,4.0,1,0,1,0,1,0.0,1,0,0,0,4.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,12.0,1.0,2.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
4,Private room,1125,Mombasa,coast,200.0,2.0,2.0,1,0,1,1,1,0.0,1,0,2,0,1.0,shared
2,Entire unit,60,Watamu,kilifi,53.0,1.0,1.0,1,0,0,1,1,10.0,1,1,0,0,1.0,unknown
11,Private room,1125,Kilifi,kilifi,219.0,6.0,5.0,1,0,0,0,1,12.0,1,5,0,0,5.0,shared
2,Entire unit,1125,Nairobi,NAIROBI,37.0,2.0,1.0,1,0,0,1,1,10.0,1,2,0,0,3.0,unknown
2,Entire unit,30,Nairobi,NAIROBI,35.0,1.0,1.0,0,0,0,0,0,2.0,1,0,0,0,1.0,unknown
2,Private room,1125,Nairobi,Eastern,12.0,1.0,1.0,1,0,0,1,1,71.0,1,1,0,0,1.0,shared
1,Entire unit,1125,Nairobi,NAIROBI,10.0,1.0,1.0,1,1,0,1,1,0.0,0,1,0,0,1.0,unknown
8,Entire unit,1125,Mombasa,Mombasa,220.0,3.0,3.0,1,0,1,0,0,0.0,1,1,0,0,5.0,unknown
4,Entire unit,1125,DIANI BEACH,Kwale,39.0,3.0,2.0,1,1,1,1,1,93.0,1,3,0,0,1.0,unknown
2,Entire unit,1125,DIANI BEACH,Kwale,54.0,1.0,1.0,1,0,0,1,1,3.0,1,0,0,0,1.0,unknown
4,Private room,30,Nairobi,NAIROBI,100.0,2.0,2.0,1,0,0,1,0,0.0,1,1,0,0,1.0,shared
3,Private room,1125,Watamu,kilifi,73.0,1.0,1.0,1,0,0,1,0,5.0,1,1,0,0,1.0,private
7,Entire unit,1125,Mombasa,Mombasa,200.0,3.0,3.0,1,1,1,1,1,0.0,1,3,0,0,3.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,36.0,1.0,1.0,0,0,0,0,0,48.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,Homa Bay,Homa Bay,20.0,1.0,1.0,0,0,0,0,0,2.0,0,0,0,0,1.0,unknown
3,Private room,1125,Ruiru,Kiambu,69.0,3.0,3.0,1,0,0,0,1,0.0,0,0,0,0,3.0,unknown
3,Entire unit,1125,Nairobi,NAIROBI,26.0,1.0,1.0,1,1,1,1,1,2.0,1,1,0,0,1.0,unknown
3,Other,365,Nairobi,NAIROBI,40.0,0.0,1.0,1,0,1,1,1,1.0,1,0,0,0,1.0,unknown
1,Shared room,1125,Nairobi,NAIROBI,33.0,1.0,1.0,0,0,0,0,0,0.0,0,2,3,0,2.0,shared
2,Private room,1125,Watamu,NAIROBI,22.0,1.0,1.0,0,0,0,0,0,32.0,1,0,1,0,1.0,private
2,Entire unit,1125,Ruaka,NAIROBI,28.0,1.0,1.0,1,0,0,0,1,5.0,1,1,0,0,1.0,unknown
2,Private room,1125,Isukha ICHINA,Kakamega,28.0,2.0,2.0,1,0,1,0,1,6.0,1,1,0,0,2.0,unknown
3,Entire unit,900,Mlolongo,Machakos,30.0,3.0,3.0,1,0,0,0,1,1.0,1,1,0,1,2.0,unknown
2,Entire unit,365,Mtwapa,kilifi,15.0,1.0,1.0,1,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,Mombasa,Mombasa,25.0,1.0,2.0,1,0,0,0,1,13.0,1,0,0,0,1.0,unknown
3,Entire unit,1125,Limuru,NAIROBI,20.0,2.0,2.0,1,1,0,1,1,7.0,1,1,0,0,2.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,50.0,1.0,1.0,1,0,1,1,1,18.0,1,1,0,0,1.0,unknown
12,Other,1125,Kisumu,Kisumu,20.0,15.0,12.0,1,1,1,0,0,26.0,1,11,10,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,45.0,1.0,1.0,0,0,0,0,1,19.0,1,1,0,0,1.0,unknown
2,Private room,1125,Nairobi,NAIROBI,33.0,1.0,1.0,0,1,0,1,0,1.0,1,0,0,0,1.0,unknown
6,Entire unit,1125,Mombasa,Mombasa,200.0,4.0,3.0,1,0,0,0,1,3.0,1,3,0,0,3.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,17.0,1.0,1.0,1,0,0,1,1,1.0,0,1,0,0,1.0,unknown
4,Entire unit,1125,Mtwapa,NAIROBI,45.0,3.0,2.0,1,1,0,0,1,24.0,1,3,0,0,1.0,unknown
