numberOfGuests,roomType,maxNights,city,state,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
2,Other,1125,Nairobi,Meru,265.0,1.0,1.0,1,0,0,0,1,42.0,1,1,0,0,1.0,unknown
5,Entire unit,23,Mtwapa,kilifi,35.0,2.0,2.0,1,0,1,1,1,0.0,1,2,0,0,2.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,60.0,0.0,2.0,1,0,1,1,1,0.0,1,0,0,0,1.0,unknown
7,Entire unit,1125,Nanyuki,Laikipia,42.0,5.0,2.0,1,0,1,0,1,191.0,1,3,2,0,2.0,unknown
4,Entire unit,1125,Malindi,kilifi,50.0,3.0,2.0,1,0,0,0,1,13.0,1,1,1,0,2.0,unknown
8,Entire unit,1125,Mtwapa,Mombasa,140.0,4.0,4.0,1,0,0,0,0,0.0,1,2,0,0,4.0,unknown
2,Entire unit,180,Nairobi,NAIROBI,29.0,1.0,1.0,1,0,0,0,1,6.0,1,1,1,0,1.0,unknown
1,Private room,1125,Kilifi,kilifi,12.0,2.0,1.0,1,1,0,0,1,0.0,1,0,0,0,1.0,private
2,Entire unit,365,Nairobi,Kiambu,26.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Private room,1125,DIANI BEACH,Kwale,54.0,1.0,1.0,1,0,0,1,1,8.0,1,1,0,0,1.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,60.0,3.0,2.0,1,0,0,0,1,42.0,1,3,0,0,2.0,unknown
4,Entire unit,1125,Kitale,Trans-Nzoia County,20.0,2.0,2.0,1,1,1,0,1,1.0,0,2,0,0,1.0,unknown
7,Entire unit,1125,Malindi,NAIROBI,290.0,6.0,5.0,1,0,0,1,0,0.0,0,5,2,0,5.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,298.0,3.0,2.0,1,0,0,0,1,0.0,1,3,0,0,1.0,unknown
